country,location_name,latitude,longitude,last_update_Date,last_updated_time,temperature_celsius,condition_text,wind_kph,pressure_in,precip_in,humidity,cloud
Congo,Brazzaville,-4.2592,15.2847,09-Mar-25,10:30:00,27.1,Partly Cloudy,3.6,29.94,0,70,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,09-Mar-25,10:30:00,27.1,Partly Cloudy,3.6,29.94,0,70,25
Central African Republic,Bangui,4.3667,18.5833,19-Mar-25,10:30:00,25,Partly Cloudy,3.6,29.94,0,79,25
Nigeria,Abuja,9.1758,7.1808,23-Mar-25,10:45:00,32.1,Partly Cloudy,3.6,29.94,0,59,25
France,Paris,48.8667,2.3333,24-Mar-25,10:30:00,12.4,Partly Cloudy,3.6,29.94,0,88,25
Tunisia,Tunis,36.8028,10.1797,24-Mar-25,10:45:00,19.2,Partly Cloudy,3.6,29.94,0,56,25
Monaco,Monaco,43.7333,7.4167,26-Mar-25,10:30:00,16.3,Partly Cloudy,3.6,29.94,0,68,25
Liberia,Monrovia,6.3106,-10.8047,09-Apr-25,09:15:00,28.4,Partly Cloudy,3.6,29.94,0,84,25
Congo,Brazzaville,-4.2592,15.2847,13-Apr-25,10:00:00,27.2,Partly Cloudy,3.6,29.94,0,79,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,13-Apr-25,10:00:00,27.2,Partly Cloudy,3.6,29.94,0,79,25
Congo,Brazzaville,-4.2592,15.2847,02-May-25,10:00:00,26,Partly Cloudy,3.6,29.94,0,79,25
Tunisia,Tunis,36.8028,10.1797,04-May-25,09:45:00,22.3,Partly Cloudy,3.6,29.94,0,65,25
Liberia,Monrovia,6.3106,-10.8047,10-May-25,09:00:00,27.2,Partly Cloudy,3.6,29.94,0,89,25
Central African Republic,Bangui,4.3667,18.5833,24-Jun-25,09:45:00,28.3,Partly Cloudy,3.6,29.94,0,66,25
Venezuela,Caracas,10.5,-66.92,16-May-24,04:45:00,26,Partly Cloudy,3.6,29.91,0,84,25
Dominica,Roseau,15.3,-61.4,25-May-24,10:00:00,30,Partly Cloudy,3.6,29.91,0,66,25
Croatia,Zagreb,45.8,16,29-May-24,16:00:00,22,Partly Cloudy,3.6,29.91,0,50,25
Malaysia,Kuala Lumpur,3.17,101.7,01-Jun-24,22:30:00,27,Partly Cloudy,3.6,29.91,0,89,25
Mongolia,Ulaanbaatar,47.92,106.92,06-Jun-24,22:00:00,10,Partly Cloudy,3.6,29.91,0,62,25
Congo,Brazzaville,-4.26,15.28,10-Jun-24,15:15:00,31.4,Partly Cloudy,3.6,29.91,0,52,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,10-Jun-24,15:15:00,31.4,Partly Cloudy,3.6,29.91,0,52,25
Albania,Tirana,41.33,19.82,11-Jun-24,16:00:00,28.2,Partly Cloudy,3.6,29.91,0,48,25
Vanuatu,Port Vila,-17.73,168.32,12-Jun-24,01:15:00,21.1,Partly Cloudy,3.6,29.91,0,100,25
Malaysia,Kuala Lumpur,3.17,101.7,12-Jun-24,22:15:00,28.2,Partly Cloudy,3.6,29.91,0,79,25
Mali,Bamako,12.65,-8,14-Jun-24,14:00:00,34.1,Partly Cloudy,3.6,29.91,0,53,25
Macedonia,Skopje,42,21.43,17-Jun-24,16:00:00,35.1,Partly Cloudy,3.6,29.91,0,35,25
Mali,Bamako,12.65,-8,22-Jun-24,13:45:00,30.2,Partly Cloudy,3.6,29.91,0,59,25
